alpha,gamma,h,T_max,seed,N,loss_final,err_vs_yext_inf,residual_inf,residual_int_inf,residual_full_inf,L1_consistency_err,iters_adam,wall_time_s
1.2,2.7,0.4,30.0,3,75,0.00017375464892123397,0.13440145850827673,0.05868046389907772,0.05868046389907772,0.05868046389907772,0.2118779055386767,8000,4.320531368255615
1.2,2.7,0.4,30.0,4,75,0.00017393342095282772,0.13173999041994178,0.05878196733767138,0.05878196733767138,0.05878196733767138,0.2118779055386767,8000,3.8960721492767334
1.2,2.7,0.2,30.0,0,150,1.115302896524618e-05,0.07513469174973458,0.02102797676315793,0.02102797676315793,0.02102797676315793,0.15916053918075745,8000,5.110006093978882
1.2,2.7,0.2,30.0,1,150,1.1112018568213424e-05,0.06986496274819398,0.021036343830871496,0.021036343830871496,0.021036343830871496,0.15916053918075745,8000,4.900958061218262
1.2,2.7,0.2,30.0,2,150,1.1073639090866464e-05,0.07159026808843583,0.020958646559963934,0.020958646559963934,0.020958646559963934,0.15916053918075745,8000,4.7136921882629395
1.2,2.7,0.2,30.0,3,150,1.1151026141018126e-05,0.07565937271944123,0.021079028784665277,0.021079028784665277,0.021079028784665277,0.15916053918075745,8000,4.753677129745483
1.2,2.7,0.2,30.0,4,150,1.105199943747314e-05,0.07372152799182019,0.021001745581246678,0.021001745581246678,0.021001745581246678,0.15916053918075745,8000,4.856853008270264
1.2,2.7,0.1,30.0,0,300,6.313829184811753e-07,0.046375390064342215,0.00785364360450902,0.00785364360450902,0.00785364360450902,0.10916222625486882,8000,5.771673202514648
1.2,2.7,0.1,30.0,1,300,5.739738511747095e-07,0.03733989246210645,0.007455058099858136,0.007455058099858136,0.007455058099858136,0.10916222625486882,8000,6.0464026927948
1.2,2.7,0.1,30.0,2,300,5.505439330155797e-07,0.03739878500186922,0.007314453208002947,0.007314453208002947,0.007314453208002947,0.10916222625486882,8000,5.73534369468689
1.2,2.7,0.1,30.0,3,300,5.618294619613734e-07,0.04144059105116393,0.0073745258097356325,0.0073745258097356325,0.0073745258097356325,0.10916222625486882,8000,5.793570041656494
1.2,2.7,0.1,30.0,4,300,5.211978921681663e-07,0.039893591345829926,0.007037724087978314,0.007037724087978314,0.007037724087978314,0.10916222625486882,8000,5.831237077713013
1.2,2.7,0.05,30.0,0,600,3.969649045712666e-08,0.024960340260355318,0.0023632108522001483,0.0023632108522001483,0.0023632108522001483,0.06280911246699983,8000,6.582178831100464
1.2,2.7,0.05,30.0,1,600,3.801615316482655e-08,0.018916239716738836,0.002138184514522079,0.002138184514522079,0.002138184514522079,0.06280911246699983,8000,8.79941701889038
